Company_Name,Founded_Year,City,Sector,Sub_Sector,Total_Funding_Cr,Equity_Funding_Rounds,Latest_Funding_Round,Latest_Round_Amount_Cr,Investors_Count,Founder_Count,Founder_Churn,Board_Advisors,Competitor_Count,Competitor_Rank,Revenue_FY(23-24)_Cr,Revenue_FY(22-23)_Cr,Revenue_FY(21-22)_Cr,Revenue_3Y_CAGR,EBITDA_FY(23-24)_Cr,EBITDA_FY(22-23)_Cr,EBITDA_FY(21-22)_Cr,Employees_2024,Employees_2023,Employees_2022,Label,Years_To_Exit,Valuation_Crores
"Reed, Forbes and Murray",2019,Bengaluru,Energy Tech,Online Pharmacy,746.5,5,Series C,351.42,13,2,2,2,8590,497,172.83,148.41,122.57,0.19,30.63,42.79,25.63,386,355,289,M&A,6,2352.22
"Escobar, Barnes and Bradshaw",2015,Noida,SaaS,Payments,125,7,Series C,13.78,4,3,1,2,8899,83,,,37.39,,,,8.85,,,49,M&A,8,254.56
"Roberts, Johnson and Johnson",2017,Mumbai,HealthTech,Online Pharmacy,425.38,7,Series B,181.02,12,2,0,3,6728,339,,,246.2,,,,38.5,,,61,M&A,6,870.59
"Dalton, Castillo and Johnson",2015,Nagpur,FinTech,B2B SaaS,880.05,8,PE,279.79,7,1,2,3,7864,7,312.8,279.16,223.17,0.18,81.76,69.82,30.24,377,336,297,M&A,10,3304.56
Maddox-Moore,2016,Gurgaon,SaaS,Online Pharmacy,975.91,6,Convertible Note,171.81,13,2,1,1,4521,447,,299.66,258.94,,,75.19,64.78,,70,57,M&A,8,3768.53
"Francis, Harris and Robinson",2021,Kolkata,SaaS,EV Charging,649.56,7,PE,269.83,12,2,1,1,8801,28,325.74,309.43,269.7,0.1,53.38,36.59,75.81,412,354,286,M&A,4,1714.86
Deleon-Scott,2021,Bengaluru,FinTech,AgriTech,801.95,5,Series B,184.43,14,4,0,0,4312,389,158.82,128.28,105.31,0.23,18.78,33.09,27.2,200,173,163,M&A,4,2074.17
"Morris, Mendez and Hall",2017,Mumbai,SaaS,EV Charging,572.87,4,PE,255.23,5,4,1,0,7755,20,,47.72,43.95,,,10.67,11.09,,60,57,M&A,7,1547.78
Gross-Sims,2013,Coimbatore,HealthTech,AgriTech,885.11,2,Series A,39.92,13,1,0,1,383,637,,,,,,,,,,,M&A,9,3225.13
Myers and Sons,2016,Jaipur,HealthTech,Online Pharmacy,891.5,7,Series A,43.91,10,2,1,5,4248,786,,,296.13,,,,51.78,,,130,M&A,7,1934.23
Hernandez Ltd,2018,Indore,E-Commerce,Clean Energy,1019.74,7,Series A,483.39,13,2,1,0,9531,27,,261.4,228.48,,,66.77,26.66,,204,180,M&A,6,4050.4
Brown-Alvarez,2014,Jaipur,SaaS,AgriTech,1132.29,3,Series A,70.3,10,2,0,5,4991,871,,15.51,13.29,,,1.92,1.48,,71,61,M&A,10,3380.18
"Mosley, Owen and Ibarra",2018,Coimbatore,EV,Clean Energy,939.39,5,Series C,277.47,2,3,0,3,8081,109,,,,,,,,,,,M&A,4,3686.53
Fry-Larson,2016,Kochi,Energy Tech,Online Pharmacy,492.69,7,Series B,76.28,7,2,2,4,4475,631,101.72,96.6,74.84,0.17,28.3,10.49,22,227,214,172,M&A,9,1841.27
"Richard, Cole and Vasquez",2014,Hyderabad,SaaS,AgriTech,708.07,6,Series C,343.45,6,2,0,2,7435,250,274.2,235.64,192.53,0.19,76.84,51.1,43.42,57,46,42,M&A,11,2156.92
Sellers Group,2015,Pune,EV,Payments,1112.95,5,Series C,258.05,3,4,0,2,4282,349,115.68,99.22,90.44,0.13,13.37,21.5,15.44,434,365,293,M&A,10,3606.27
"Jones, Schneider and Houston",2016,Jaipur,E-Commerce,Payments,686.66,6,Series B,111.97,2,2,2,3,8054,569,,227.48,208.57,,,60.17,58.86,,341,286,M&A,8,2490.91
Turner-Smith,2012,Nagpur,Energy Tech,AgriTech,779.79,5,PE,167.91,13,1,0,2,3680,415,,,261.16,,,,28.48,,,37,M&A,11,3014.23
"Underwood, Lawson and Rhodes",2015,Kolkata,Energy Tech,Clean Energy,494.6,4,PE,202.02,9,3,1,5,9067,339,,,53.62,,,,11.73,,,132,M&A,8,1965.77
"Holmes, Robinson and Sanchez",2013,Pune,EV,EV Charging,1208.81,4,Series B,510.28,2,2,1,0,8829,974,,168.35,145.92,,,18.73,22.57,,318,263,M&A,11,4444.4
Wilson Inc,2016,Kolkata,HealthTech,AgriTech,1244.67,5,Series C,620.26,12,3,0,1,4903,233,,,233.01,,,,67.33,,,259,M&A,7,3872.03
Dudley-Rivera,2018,Kochi,EV,Payments,339.22,7,Convertible Note,81.01,3,3,0,0,9116,300,,344.45,286.67,,,80.72,41.78,,219,196,M&A,6,766.09
Ramirez-Hayes,2012,Kochi,FinTech,Payments,178.2,6,Series C,62.58,8,4,1,2,3070,989,,,233.97,,,,47.74,,,260,M&A,11,541.82
"Morse, Hale and Byrd",2014,Jaipur,SaaS,Payments,705.75,8,Series A,201.61,7,4,0,4,928,156,,,,,,,,,,,M&A,8,2648.86
"Jennings, Warner and Bradford",2015,Noida,FinTech,B2B SaaS,527.13,2,Convertible Note,42.5,13,4,2,4,3747,795,,,228.99,,,,51.31,,,220,M&A,8,1084.64
"Mccoy, Brown and Brown",2014,Kolkata,SaaS,EV Charging,297.8,8,Convertible Note,27.47,7,3,2,4,1036,625,153.52,133.72,111.67,0.17,26.04,37.55,20.94,228,202,168,M&A,11,604.24
Carlson-King,2015,Chennai,Energy Tech,B2B SaaS,790.16,4,Series A,341.88,3,2,0,4,1279,161,,,,,,,,,,,M&A,7,3080.88
Thompson Inc,2012,Kolkata,SaaS,AgriTech,218.54,6,PE,101.84,5,1,0,2,4682,720,,,,,,,,,,,M&A,10,652.13
"Hines, Mueller and Hamilton",2020,Noida,Energy Tech,B2B SaaS,352.34,4,Convertible Note,85.41,11,2,1,0,8972,231,209.13,173.07,152.86,0.17,26.3,19.93,22.63,74,69,64,M&A,5,1395.23
"Frazier, Robertson and Johnston",2015,Nagpur,HealthTech,Payments,812.82,2,Series B,80.68,13,3,2,5,9375,944,,,270.07,,,,52.61,,,210,M&A,8,2187.55
"Edwards, Byrd and Sims",2013,Hyderabad,FinTech,Online Pharmacy,248.92,7,Series C,30.63,12,4,1,4,8897,506,,66.05,58.99,,,7.78,7.99,,70,62,M&A,11,518.17
"Sharp, Jones and Gray",2020,Bengaluru,E-Commerce,Payments,289.84,5,Series C,58.1,10,3,0,0,3800,985,278.45,222.79,210.21,0.15,76.49,25.92,47.42,326,295,278,M&A,5,871.5
"Ellison, Black and Larson",2014,Nagpur,E-Commerce,Payments,1011.77,8,Series B,380.64,8,4,1,1,9640,447,,,,,,,,,,,M&A,8,2396.96
Swanson Inc,2020,Bengaluru,SaaS,EV Charging,293.49,5,Series C,59.59,6,1,0,2,6794,711,252.02,216.21,189.29,0.15,37.93,23.21,47.23,313,272,222,M&A,5,871.42
Acosta-Cain,2017,Bengaluru,Energy Tech,Online Pharmacy,681.93,8,Convertible Note,43.99,1,4,0,2,4185,332,204.08,182.65,164.46,0.11,33.55,19,28.86,104,97,87,M&A,8,1974.07
Harris and Sons,2012,Hyderabad,E-Commerce,Payments,1113.28,7,Convertible Note,333.83,8,4,0,1,8544,371,,,,,,,,,,,M&A,10,3738.65
"Wright, Carson and Walker",2014,Delhi,FinTech,B2B SaaS,991.27,4,Convertible Note,251.24,3,3,1,5,7991,125,245.26,198.37,165.76,0.22,38.45,24.9,30.89,174,150,128,M&A,11,2154.85
Castro-Brady,2015,Bengaluru,Energy Tech,B2B SaaS,470.03,4,Convertible Note,231.99,1,4,0,1,1908,473,,,,,,,,,,,M&A,7,1509.52
"Hill, Nguyen and Tucker",2016,Bengaluru,SaaS,AgriTech,327.02,4,Convertible Note,24.07,12,3,1,3,7786,250,,,,,,,,,,,M&A,6,754.06
Blankenship LLC,2013,Hyderabad,HealthTech,Online Pharmacy,337.48,3,Convertible Note,34.11,9,2,0,2,6848,349,129.11,101.33,92.68,0.18,23.51,20.76,10.76,356,316,295,M&A,12,800.87
Cherry Ltd,2020,Noida,EV,AgriTech,1208.23,4,Convertible Note,523.98,10,4,0,3,8874,496,,92.65,84.79,,,26.49,19.82,,209,180,M&A,4,4390.87
Silva-Ortega,2015,Kolkata,E-Commerce,Clean Energy,378.48,5,PE,147.49,15,3,0,5,3962,586,,120.11,103.87,,,17.83,20.93,,71,61,M&A,9,898.56
"Rios, Boyer and Brewer",2018,Chennai,SaaS,Payments,388.86,4,PE,116.45,12,4,1,5,2542,508,188.06,176.92,149.53,0.12,21.19,22.45,25.02,399,330,297,M&A,7,897.73
"Riggs, Robertson and Boyd",2016,Kolkata,E-Commerce,Clean Energy,347.94,4,Series A,121.18,14,4,0,4,7536,16,,,,,,,,,,,M&A,6,1224.91
Dorsey-Miles,2013,Hyderabad,Energy Tech,B2B SaaS,758.37,2,PE,183.18,13,3,1,4,6562,666,,,111.17,,,,31.78,,,254,M&A,10,2141.4
Giles-Foster,2013,Pune,Energy Tech,Clean Energy,1202.92,5,Series C,82,11,4,2,0,1171,241,,,,,,,,,,,M&A,9,4164.19
"Alexander, Gordon and Mccoy",2017,Ahmedabad,Energy Tech,Payments,1170.8,5,Series A,112.88,13,1,1,1,4956,926,,268.47,224.92,,,34.35,60.36,,266,244,M&A,7,2497.3
Garcia LLC,2018,Coimbatore,EV,Payments,238.46,4,Series C,26.56,6,4,0,1,8752,422,,,,,,,,,,,M&A,4,865.44
Tate-Shaw,2017,Indore,HealthTech,Payments,842.04,6,PE,224.18,10,2,1,4,2394,238,,,264.39,,,,47.19,,,250,M&A,6,2288.39
Maldonado-Gutierrez,2017,Nagpur,SaaS,EV Charging,569.96,7,Series A,112.63,15,4,1,5,9005,162,141.63,120.47,97.4,0.21,25.04,33.72,14.26,253,216,176,M&A,8,1667.3
"Hart, Luna and Jimenez",2011,Pune,EV,Clean Energy,182.19,4,PE,86.07,12,3,1,2,3313,394,,,,,,,,,,,DEADPOOLED,,
Gutierrez-Allen,2020,Kochi,HealthTech,Online Pharmacy,796.97,6,Series C,138.94,10,3,2,2,409,850,75.81,62.91,50.39,0.23,19.54,17.54,10.42,84,77,70,DEADPOOLED,,
"Adams, Gonzales and Ochoa",2017,Bengaluru,FinTech,Clean Energy,936.82,8,Series A,23.74,15,4,1,1,9996,822,275.97,217.44,175.27,0.25,33.7,57.46,29.52,312,277,258,DEADPOOLED,,
Briggs and Sons,2017,Ahmedabad,Energy Tech,B2B SaaS,1001.06,6,Series C,82.09,11,2,2,0,695,317,,94.11,76.48,,,21.48,18.66,,251,217,DEADPOOLED,,
Lee PLC,2021,Kolkata,E-Commerce,EV Charging,344.53,7,Series B,64.99,2,3,1,5,6857,180,95.69,80.02,62.66,0.24,27.7,15.4,11.29,94,82,71,DEADPOOLED,,
Stevens LLC,2017,Kochi,E-Commerce,EV Charging,777.38,6,Convertible Note,15.19,15,3,0,2,7944,991,,,262.92,,,,75.31,,,182,DEADPOOLED,,
Shannon LLC,2015,Coimbatore,FinTech,Online Pharmacy,879.88,2,Series B,406.45,13,2,2,5,6561,991,,234.06,215.1,,,51.81,46.3,,172,144,DEADPOOLED,,
Jenkins Ltd,2019,Noida,SaaS,Payments,1165.98,4,Convertible Note,540.25,2,4,1,5,4345,599,,151.76,140.74,,,40.64,41.8,,77,63,DEADPOOLED,,
Lucas and Sons,2016,Delhi,FinTech,AgriTech,1088.38,3,PE,286.35,1,3,2,1,1085,651,221.94,208.65,181.47,0.11,22.4,54.37,30.31,156,135,120,DEADPOOLED,,
Hart and Sons,2017,Hyderabad,Energy Tech,Online Pharmacy,1148.55,2,Series B,204.35,1,1,1,3,1952,100,158.82,136.55,110.62,0.2,20.36,26.01,16.03,99,88,77,DEADPOOLED,,
Vargas-Good,2011,Bengaluru,HealthTech,Online Pharmacy,1142.5,5,Series C,212.31,11,4,2,5,2581,907,,,178.37,,,,40.39,,,33,DEADPOOLED,,
Conley Group,2020,Kolkata,SaaS,Clean Energy,840.04,5,Series C,81.59,1,3,0,3,7335,974,362.11,313.88,288.71,0.12,72.58,93.97,33.8,242,202,190,DEADPOOLED,,
"Harvey, Frazier and Bruce",2014,Chennai,FinTech,AgriTech,294.15,4,Convertible Note,132.97,15,3,0,3,4570,195,,,69.49,,,,9.6,,,39,DEADPOOLED,,
Nash-Woods,2011,Ahmedabad,FinTech,AgriTech,609.64,3,Convertible Note,175.79,1,1,1,1,2113,806,,,,,,,,,,,DEADPOOLED,,
Byrd-Cox,2018,Indore,E-Commerce,B2B SaaS,120.6,6,Series B,48.64,14,2,1,1,9814,3,,,141.45,,,,28.98,,,149,DEADPOOLED,,
"Mcdonald, Erickson and Downs",2018,Indore,HealthTech,Clean Energy,523.81,4,Series B,150.23,2,1,0,0,5919,809,,60.27,55.02,,,17.43,14.99,,143,130,DEADPOOLED,,
Pittman-Farmer,2014,Hyderabad,FinTech,B2B SaaS,816.55,4,Series A,171.81,3,4,2,0,1091,488,,,17.36,,,,2.28,,,223,DEADPOOLED,,
"Lee, Hernandez and Vaughn",2016,Nagpur,E-Commerce,Clean Energy,834.48,2,PE,19.42,9,2,2,0,8593,309,100.34,82.38,74.37,0.16,26.09,9.95,7.73,100,92,78,DEADPOOLED,,
Harrison-Burnett,2021,Mumbai,FinTech,Online Pharmacy,161.19,8,PE,25.9,7,1,1,5,7317,76,348.82,277.38,219.46,0.26,49.18,64.8,39.38,139,133,109,DEADPOOLED,,
"Morris, Hodges and Frank",2013,Hyderabad,E-Commerce,B2B SaaS,144.42,2,Series B,21.58,5,3,1,4,8742,302,,,,,,,,,,,DEADPOOLED,,
Romero PLC,2013,Jaipur,E-Commerce,Online Pharmacy,73.45,2,Series A,13.45,14,2,1,3,3793,424,263.42,206.9,179.08,0.21,40.01,34.83,47.19,169,154,132,DEADPOOLED,,
Harris and Sons,2013,Delhi,SaaS,Online Pharmacy,792.65,7,Series A,167.16,6,4,1,5,4226,384,,197.14,170.09,,,57.11,27.03,,254,236,DEADPOOLED,,
Jones and Sons,2012,Pune,FinTech,Payments,1086.72,8,Series A,269.09,2,4,0,5,6155,832,,,269.42,,,,70.04,,,144,DEADPOOLED,,
Cox-Parker,2011,Bengaluru,FinTech,Clean Energy,68.56,6,Convertible Note,15.27,6,1,1,2,6979,889,,,167.07,,,,37.87,,,99,DEADPOOLED,,
"Brown, Hutchinson and Hunt",2014,Gurgaon,E-Commerce,EV Charging,209.24,4,Series A,88.73,10,2,0,5,7950,230,,,,,,,,,,,DEADPOOLED,,
Watson-Patterson,2013,Indore,E-Commerce,EV Charging,1226.24,2,Series C,326.27,10,2,1,4,9171,27,,,,,,,,,,,DEADPOOLED,,
Greene Inc,2020,Hyderabad,HealthTech,EV Charging,248.09,7,Series C,39.84,15,3,1,0,3022,891,,19.6,15.33,,,4.22,1.89,,119,103,DEADPOOLED,,
Stephenson Inc,2013,Kolkata,FinTech,B2B SaaS,825.52,7,Series A,343.87,2,2,1,3,7482,350,,,69.86,,,,7.14,,,66,DEADPOOLED,,
Lopez-Wolf,2014,Gurgaon,EV,AgriTech,1124.65,4,Convertible Note,492.44,10,1,0,1,2629,773,,,183.25,,,,40.33,,,209,DEADPOOLED,,
Jensen-Huff,2017,Ahmedabad,EV,Online Pharmacy,252.57,7,PE,116.2,8,4,1,2,3581,774,,,,,,,,,,,DEADPOOLED,,
Clark-Kim,2013,Gurgaon,SaaS,Payments,545.48,4,Convertible Note,109.64,8,3,0,1,6525,614,,,,,,,,,,,DEADPOOLED,,
"Bishop, Nichols and Shaffer",2018,Pune,HealthTech,EV Charging,665.99,3,Series B,23.57,13,3,1,2,2015,8,,,,,,,,,,,DEADPOOLED,,
Scott Group,2015,Nagpur,HealthTech,B2B SaaS,241.61,5,Convertible Note,91.3,12,2,2,4,5852,74,45.39,40.84,34.01,0.16,7.77,6.44,6.05,288,248,224,DEADPOOLED,,
Rodgers-Brown,2021,Pune,SaaS,Payments,614.45,5,Series A,206.67,14,3,2,3,9444,415,383.38,347.35,281.68,0.17,83.97,52.95,29.92,57,49,43,DEADPOOLED,,
Rodriguez-Douglas,2017,Kolkata,FinTech,Online Pharmacy,443.8,2,Series C,172.97,3,4,2,2,1493,448,53.87,43.72,40.91,0.15,10.07,10.39,8.15,140,116,96,DEADPOOLED,,
"Barnett, Hill and Johnson",2015,Kochi,SaaS,Clean Energy,877.56,5,Convertible Note,125.41,2,4,1,5,5612,227,,,,,,,,,,,DEADPOOLED,,
Murphy-Jones,2018,Mumbai,FinTech,Clean Energy,751.81,7,Series A,141.02,9,2,1,2,2469,242,,46.77,36.56,,,13.57,4.66,,163,150,DEADPOOLED,,
"Underwood, Martin and Hill",2016,Kochi,EV,B2B SaaS,693.71,3,Convertible Note,303.86,3,1,0,5,8145,476,,,,,,,,,,,DEADPOOLED,,
Hendricks Group,2016,Kolkata,Energy Tech,EV Charging,922.71,3,PE,373.75,2,4,1,5,5011,816,310.4,245.9,201.05,0.24,44.77,48.66,30.14,387,366,296,DEADPOOLED,,
Ramirez Inc,2020,Jaipur,EV,Clean Energy,890.67,2,Series C,412.68,8,4,0,0,6091,852,,74.34,62.37,,,7.94,17.66,,241,218,DEADPOOLED,,
"Ellis, Wood and Scott",2019,Gurgaon,Energy Tech,Payments,1154.03,6,Convertible Note,560.58,9,4,1,4,9131,978,,331.68,283.84,,,89.19,77.32,,141,116,DEADPOOLED,,
Avery and Sons,2011,Chennai,E-Commerce,AgriTech,86.07,3,Series C,29.05,10,4,2,1,1063,462,,,,,,,,,,,DEADPOOLED,,
Perry-Lawrence,2013,Ahmedabad,Energy Tech,Payments,318.31,6,Series B,26.48,1,2,2,3,7249,537,,,,,,,,,,,DEADPOOLED,,
Chapman-Thornton,2014,Noida,EV,EV Charging,134.13,5,PE,49.22,13,3,2,4,907,809,,,108.56,,,,26.59,,,47,DEADPOOLED,,
"Caldwell, Church and Graham",2019,Coimbatore,EV,Payments,420.98,6,PE,117.36,5,3,2,5,9924,895,,270.35,239.31,,,74.94,53.89,,214,196,DEADPOOLED,,
Lambert-Johnson,2014,Nagpur,FinTech,Clean Energy,70.88,7,Series B,31.96,15,3,1,5,6471,133,,,16.17,,,,4.45,,,172,DEADPOOLED,,
"Miller, Acosta and Baker",2014,Hyderabad,E-Commerce,Online Pharmacy,1171.63,7,Series C,469.61,14,2,2,5,8674,96,,,,,,,,,,,DEADPOOLED,,
"Ross, Schultz and Chandler",2013,Coimbatore,EV,Payments,1242.51,4,Series C,223.27,3,2,1,3,3195,232,312.92,267.46,232.48,0.16,92.88,73.48,52.42,303,268,237,DEADPOOLED,,
Richmond-Lopez,2017,Kochi,FinTech,EV Charging,929.19,8,Series A,117.28,9,1,2,2,2197,612,,,42.04,,,,7.19,,,107,DEADPOOLED,,
Henry-Wilson,2019,Chennai,HealthTech,B2B SaaS,398.07,8,Convertible Note,52.87,13,2,2,3,765,421,30.37,23.42,22.21,0.17,7.17,4.14,4.12,131,109,88,DEADPOOLED,,